fid,hex_id,tipo,zona,estado,chl_count,chl_sum,chl_mean,chl_min,chl_max
198,HEX0000198,Oceano,Marina,Baja California,4,0.333841472864151,0.0834603682160378,0.0825615227222443,0.0840474665164948
199,HEX0000199,Oceano,Marina,Baja California,5,0.439068697392941,0.0878137394785881,0.0866337865591049,0.0893437117338181
200,HEX0000200,Oceano,Marina,Baja California,4,0.347046308219433,0.0867615770548582,0.0853616446256638,0.0889424532651901
201,HEX0000201,Oceano,Marina,Baja California,4,0.352202616631985,0.0880506541579962,0.0877093300223351,0.0885735973715782
202,HEX0000202,Oceano,Marina,Baja California,6,0.560347430408001,0.0933912384013335,0.0909138396382332,0.0966307669878006
203,HEX0000203,Oceano,Marina,Baja California,3,0.272937133908272,0.0909790446360906,0.0899330526590347,0.0925158187747002
204,HEX0000204,Oceano,Marina,Baja California,4,0.362606413662434,0.0906516034156084,0.0892727896571159,0.0917210504412651
205,HEX0000205,Oceano,Marina,Baja California,6,0.574669487774372,0.0957782479623954,0.0940688252449036,0.0977342501282692
206,HEX0000206,Oceano,Marina,Baja California,4,0.362809576094151,0.0907023940235376,0.0899780839681625,0.0915013700723648
207,HEX0000207,Oceano,Marina,Baja California,4,0.387315817177296,0.0968289542943239,0.0961450934410095,0.0977145135402679
208,HEX0000208,Oceano,Marina,Baja California,6,0.57005250453949,0.0950087507565816,0.0905656069517136,0.0992432534694672
209,HEX0000209,Oceano,Marina,Baja California,4,0.371021263301373,0.0927553158253431,0.0917713195085526,0.0933869257569313
210,HEX0000210,Oceano,Marina,Baja California,4,0.370390206575394,0.0925975516438484,0.0916663184762001,0.0935178846120834
211,HEX0000211,Oceano,Marina,Baja California,6,0.553612515330315,0.0922687525550524,0.0915659219026566,0.0929072573781013
212,HEX0000212,Oceano,Marina,Baja California,5,0.455939114093781,0.0911878228187561,0.0895409286022186,0.0921724364161491
213,HEX0000213,Oceano,Marina,Baja California,4,0.38406939804554,0.096017349511385,0.0940743163228035,0.0982530787587166
214,HEX0000214,Oceano,Marina,Baja California,5,0.480219475924969,0.0960438951849937,0.0957865417003632,0.0963385924696922
215,HEX0000215,Oceano,Marina,Baja California,4,0.405930034816265,0.101482508704066,0.0999689549207687,0.104013741016388
216,HEX0000216,Oceano,Marina,Baja California,4,0.429663524031639,0.10741588100791,0.105492793023586,0.108459182083607
217,HEX0000217,Oceano,Marina,Baja California,5,0.574530348181725,0.114906069636345,0.111250124871731,0.120170116424561
218,HEX0000218,Oceano,Marina,Baja California,5,0.631490908563137,0.126298181712627,0.11907135695219,0.130279451608658
219,HEX0000219,Oceano,Marina,Baja California,4,0.327562414109707,0.0818906035274267,0.0807406529784203,0.0826895385980606
220,HEX0000220,Oceano,Marina,Baja California,5,0.409318923950195,0.0818637847900391,0.0805915668606758,0.0836046785116196
221,HEX0000221,Oceano,Marina,Baja California,5,0.407052882015705,0.081410576403141,0.0804344788193703,0.0819433927536011
222,HEX0000222,Oceano,Marina,Baja California,4,0.331951156258583,0.0829877890646458,0.0820570141077042,0.0835167616605759
223,HEX0000223,Oceano,Marina,Baja California,5,0.418239630758762,0.0836479261517525,0.0828726217150688,0.0846592783927917
224,HEX0000224,Oceano,Marina,Baja California,4,0.342546403408051,0.0856366008520126,0.0830212235450745,0.0871704146265984
225,HEX0000225,Oceano,Marina,Baja California,5,0.43438795953989,0.0868775919079781,0.0850072279572487,0.0884991362690926
226,HEX0000226,Oceano,Marina,Baja California,5,0.432250298559666,0.0864500597119331,0.0835511237382889,0.087531790137291
227,HEX0000227,Oceano,Marina,Baja California,4,0.35694258660078,0.0892356466501951,0.0881234556436539,0.090021476149559
228,HEX0000228,Oceano,Marina,Baja California,5,0.456704676151276,0.0913409352302551,0.0909537151455879,0.0918350219726562
229,HEX0000229,Oceano,Marina,Baja California,5,0.451642408967018,0.0903284817934036,0.089362159371376,0.0915261209011078
